Column1;class;word;sentence1;sentence2
0;1;bar; slišal. Pri nas se zgodbe govorijo povsod, po  barih , po domovih, ko so vsi zberejo v kuhinji ; spet zelene barve, njihova smer obeta, da bodo  bari  v tem norem mestu spet polni, sam pa bom  
1;1;bar; Škofja Loka, Studio  Bar  & Club, ob 21.00: House for Ladies. ; je britanski The Guardian pred časom zapisal: Mostovi in  bari  so Ljubljano ustoličili pri Italijanih. Zdaj je čas,  
2;0;bar; pri čemer je dogajanje postavljeno v aktualno sedanjost. Režija  Bare  Mulc alias Mare Bulc. AKC Metelkova mesto. Menza  ; dan vsaj trije avtobusi turistov, je povedala natakarica v  baru . Ob našem prihodu se je poskušala sporazumeti z Italijanko 
3;0;bar; kjer se ob obali nizajo slikovite hiše. Restavracije in  bari  čakajo, da oskrbijo nove prišleke. Mesto Capri leži  ; , pri katerem je tlak vbrizga goriva v valj 2000  barov . Poleg tega je motor odziven, saj je opremljen  
4;1;bar; Prav tako imajo tudi kavo  bar , kjer se lahko obiskovalci okrepčajo in odžejajo. V  ; ), katerega so predstavili prejšnji teden v lokalu Piano  Bar . Veliki koncert je bil v Cankarjevem domu.  
5;1;bar; od mehkega pop rocka do energičnih rokerskih skladb. Orto  bar . Ob 22. uri.  ; Atelje PuhArt in Kavka  Bar  vabita, da v nedeljo, 30. avgusta, prinesete  
6;1;bar; Daud, ki so ga leta 1981 večkrat ustrelili v  baru  hotela v Varšavi, a je preživel napad. Pozneje  ; Hotelska ponudba: recepcija, več restavracij in  barov  v sklopu hotela, različni bazeni, otroški bazen,  
7;1;bar; . Jeklenka s prostornino 2 l, polnjena na 200  barov  vsebuje 400 l O2. Vsaka jeklenka mora imeti reducirni  ; tako po umirjeni opremi kot po specializiranosti zgleduje po suši  barih . Z vsak dan svežimi živili ponujajo kakovost na ravni  
8;1;bar; LJUBLJANA V sredo zvečer sta v dnevni  bar  hotela Lev vstopila mlajša neznanca, izvlekla pištoli in začela  ; je v vinjenem stanju spet lomil. Popival je v  baru  v Hemsedalu in se spet zapletel v pretep. Direktor  
9;0;bar; šobe. Razlika je tudi v večjem (do 1350  barov ) in bolj enakomernem tlaku, ki ga dosežemo s  ; nešteto trgovin s spominki, eno z alkoholom, pet  barov  in kar tri cerkve (alliance, katoliško in protestantsko 
10;1;bar; gostinsko dejavnost v naselju predstavljajo slaščičarna, bife (kava  bar ), kiosk, gostišče (s pripravo tople hrane ; okoli pet tisoč tolarjev, enako ob vlomu v lokal  Bar  pri Janezu v Loki pri Žusmu. Nekaj večji plen  
11;0;bar; Rožaju, Mojkovcu, Nikšiæu, Cetinju, Budvi,  Baru , Ulcinju, Tivtu, Kotorju i Herceg Novem je  ; DNEVNI KAVA  BAR  V MOZIRJU 
12;1;bar; bazen. Spet drugod so ti prostori videti kot koktajl  bari  z zasenčenimi lučmi, kjer nove neobvezne družbe lahko igrajo  ; To okusno opremljeno kavarno/ bar  v francoskem stilu vodijo ženske, strežejo pa tudi moškim 
13;0;bar;" "" s torbicami Louis Vuitton sredi smučišč, vedno polni  bari , ogrevani pločniki, zastonj mestni prevozi, plinska ulična  "; Ferrari 262, 2.  BAR -Honda 119, 3. Renault 105, 4. Williams 
14;0;bar; 16.05Hri- bar  ; Med Orto  barom  in Propagando (mimogrede: prvega sta poimenovala lastnika,  
15;0;bar;  barov ) pa omogočajo boljšo razpršenost, bolj homogeno mešanico z  ; izpadla in za zdaj najbolj atraktivna članica druščine iz aktualnega  Bara  2 Petra je za fante sila zanimiva, saj je  
