Column1;class;word;sentence1;sentence2
0;0;kap; prostituiranjem občasno je počel tudi to , me je skoraj  kap . Veš, kako je, če si študentka v  ;  Kapa  gre v Pariz 
1;1;kap; ko pa zdajle ta video vidim me je pa skor  kap . Mislim, da je lahko nekdo tako hinavski.  ; čingola da te rasvetlim bila je možganska  kap  in v 6 mesecih sem bil invalidsko upokojen.. 
2;0;kap; odgovor, ne sme vas presenetiti in vas zadeti ustna  kap . Vsekakor ne morete vedeti, katere punce so že  ; je avgusta 2009 med potapljanjem na hrvaškem zadela blažja možganska  kap . 13. avgusta so ga hospitalizirali v šibeniški bolnišnici,  
3;0;kap; piva, ki naj bi ga spil Pahor, skoraj  kap . ; Od jeze si je strojevodja snel z glave železničarsko  kapo  in jo z vso silo zagnal ob tla. 
4;0;kap; smučarske čevlje, hlače, bundo, rokavice in vtakneš  kapo  v žep, pa smuči na ramo in palice v  ; IMK ishemična možganska  kap  ali infarkt 
5;0;kap; moškega nižje postave, v temno oblečenega, s temno  kapo , in približno 180 centimetrov visokega neznanca srednje postave,  ; reakcijo na osvetlitev. Težko je oceniti, ali je  kap  posledica krvnega strdka ali možganske krvavitve, tako da jo  
6;0;kap; ): ALIANSA, AE, STERLING, LR,  KAPA , KEATON, ; prala Altonovo rezervno uniformo – moder suknjič, črno svileno  kapo  in rumeno pelerino –, zvrnila se je na hrbet  
7;1;kap; opis: Mezgec Franc, Ostrovica 7, z značilno  kapo  (domače delo). Teren 12- Brkini ( ; jih je blo...res... kapo  dol pred njo...kot kleopatra pa je  
8;0;kap; , vrhovi nad krnico pa si po vrsti nadevajo meglene  kape . Nekajkrat zagrne megla celo gornji del stene. V  ; Vzrok smrti pri vseh treh osebah je bila možganska  kap . V splošni bolnišnici so sprejeli okoli dvajset ljudi,  
9;1;kap; Silver umrl zaradi srčne  kapi  ; so me prosili za recept zanjo, me je skoraj  kap . Pa ne od holesterola. 
10;1;kap; Univerze Južna Karolina predstavil raziskavo o zmanjšanem tveganju za možgansko  kap , če so posamezniki, tako moški kot ženske,  ; z jetri ali so pred časom preživeli možgansko ali srčno  kap . 
