Column1;class;word;sentence1;sentence2
0;0;karta; 22. Hindujsko: »Mayn toojh ko py r  karta  hun.« 53. •vedsko: »Jag  ; je temna stran sile za vedno premagana. RAB KDO  KARTE ? 
1;0;karta; loterija na progi Čopka na Mariborskem Pohorju je dodobra premešala  karte  med najboljšimi, nekateri med njimi tako niso bili povsem  ; razdaljo med dvema krajema pa je bilo nemogoče oceniti s  karte . Za razdaljo in kvaliteto ceste lahko povprašaš domačine,  
2;1;karta; , oddaja TV Gorenjka - 21.30 Oglasi - 21.35 Ko  karte  govorijo, oddaja o vedeževanju v živo iz Televizije Celje  ; dal nintendov palec za to, da bi imel na  kartah  (te postanejo kar velike) zaznamke in smerne točke  
3;0;karta; živo doživeti tak spektakel, saj do zdaj zaradi razprodanih  kart  na ogled v tujino še nisva šla. Po svojih  ; fizično ločene od same karte tako se izognemo nerodnemu pregibanju  karte  ob uporabi, hkrati pa vsebina karte zajema poln format  
4;0;karta; uporabi, tako da je na njih premalo gume.  Kart  zaradi tega drsi in se obnaša povsem drugače, kot  ; . Iz žepa na zadnjici so se mu vsule tarok  karte  po vsej skakalnici. Ne vem, kako to,  
5;0;karta; besed. Le-ti se porušijo kot hiša iz  kart  takrat, ko jih primerjamo z industrijskimi conami in tovarnami  ; tam zaradi navijanja in ne zaradi kazanka lazje prisli do  kart . 
6;1;karta; kartami: glavni cilj prve je zbiranje kart ali kombinacij  kart  s posebnimi vrednostmi (npr. trula pri taroku),  ; pisarji sušili s črnim tušem izpisana imena in oznake na  kartah . Pri digitalizaciji kart so ostanki peska praskali šipo skenerja 
7;0;karta; the american people«, naj se na novo razdelijo  karte  v političnem in gospodarskem življenju ameriškega ljudstva - od tod  ; prikazal svojo domovino kot pomorsko deželo. Na sliki njegova  karta  Istre, »petega dela Kranjske«, s pripadajočo  
8;1;karta; 1 DOM -  Karta , ki jo najdemo na tem mestu, opisuje ozračje ; bilo praznih sedežev, preprodajalci pa so tik pred tekmo  karte  ponujali za polovično ceno. 
9;0;karta; , na kateri naj bi očitno prišlo do zadnjih delitev  kart . Obeta se sprememba imena kluba, nov predsednik,  ; Sveže informacije o razmerah na smučišču, smučarske  karte  v predprodaji in novice o aktualnih prireditvah so vam na  
10;0;karta; V Heidini  karti  je večina planetov postavljenih zelo visoko. Heidi je prava  ;" takšne napake; povabijo te na podelitev in ti pošljejo  karto , da lahko sploh prideš noter. Saj bi me  "
11;0;karta; literature, zato si je to rubriko na hrbtni strani  karte  vredno ogledati, saj najdemo kar sedem novih izdaj. ;" A lahko 13.000 gledalcev kupi  karto , da gleda dva ""človeka"", ki se  "
12;0;karta; območje občine Šenčur se grafični prikaz v merilu 1:5000 ( karta  Kranj 30) uskladi z gradbenim dovoljenjem št. 351- ;  Karte  se bodo prodajale na Pravni fakulteti v sredo, dne  
13;0;karta; France Šušteršič . K boljši strokovni in znanstveni kakovosti nove  karte  so pomembno prispevali tudi domači in tuji recenzenti, Ivan  ; na tekmah, za katere niso prodali ali oddali vseh  kart , so nameravali zapolnili z vojaki. A dogovora z  
14;1;karta; kot doma, če ne bolje. Oba imata letalske  karte  in bosta lahko odšla, če bosta presodila, da  ; bile tudi vse glasovnice, katerim ni bila priložena volilna  karta  ali če ta dokument ni bil podpisan. Pri glasovnicah 
15;1;karta; za angelskega terapevta, Šola kanaliziranja in dela z angelskimi  kartami , različni tečaji, Angelski Reiki Info: Brodarjev trg  ; je to odvisno od finančnih zmožnosti, ki jih pa  karte  zaenkrat še ne pokažejo. Vsem želim izpolnitev želja. 
16;1;karta; Izletniški  karti  Kočevsko in Bela Krajina ; in jih lahko sami dodajate – naj gre za topografske  karte , zemljevide mesta ali skenirane fotografije. Na voljo je  
17;0;karta; , da smo v dolini dobili topli napitek in novo  karto , čeprav bi marsikdo raje videl, da bi mu  ; klin, da se je država sesula kot hišica iz  kart . Miko in njegovi naj bi takrat branili severno mejo 
18;1;karta; če pa boste v Obertauernu tudi prenočili, vas bo  karta  stala le 20 evrov. Pridite, saj zakaj ne  ; Dnevna  karta  za odrasle stane 1800 tolarjev, za otroke do 14.  
